"filename", "language", "assembly(DOS)", "comment", "blank", "total"
"/Users/yangluchao/Documents/GitHub/asm/book/t6/c_main.asm", "assembly(DOS)", 22, 10, 2, 34
"/Users/yangluchao/Documents/GitHub/asm/book/t6/t6-10.asm", "assembly(DOS)", 29, 4, 3, 36
"/Users/yangluchao/Documents/GitHub/asm/book/t6/t6-11.asm", "assembly(DOS)", 105, 30, 5, 140
"/Users/yangluchao/Documents/GitHub/asm/book/t6/t6-12.asm", "assembly(DOS)", 82, 10, 7, 99
"/Users/yangluchao/Documents/GitHub/asm/book/t6/t6-4_2.asm", "assembly(DOS)", 52, 15, 7, 74
"/Users/yangluchao/Documents/GitHub/asm/book/t6/t6-8.asm", "assembly(DOS)", 30, 3, 1, 34
"/Users/yangluchao/Documents/GitHub/asm/book/t7/t7-1.asm", "assembly(DOS)", 63, 24, 3, 90
"/Users/yangluchao/Documents/GitHub/asm/book/t7/t7-2.asm", "assembly(DOS)", 80, 27, 10, 117
"/Users/yangluchao/Documents/GitHub/asm/book/t7/t7-3.asm", "assembly(DOS)", 36, 4, 8, 48
"/Users/yangluchao/Documents/GitHub/asm/process/btoasc.asm", "assembly(DOS)", 0, -1, 0, -1
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_10.asm", "assembly(DOS)", 11, 3, 4, 18
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_2.asm", "assembly(DOS)", 25, 12, 7, 44
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_3.asm", "assembly(DOS)", 49, 7, 6, 62
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_4.asm", "assembly(DOS)", 48, 8, 9, 65
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_5.asm", "assembly(DOS)", 47, 11, 7, 65
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_6.asm", "assembly(DOS)", 69, 13, 4, 86
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_7.asm", "assembly(DOS)", 59, 14, 10, 83
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_8.asm", "assembly(DOS)", 46, 10, 7, 63
"/Users/yangluchao/Documents/GitHub/asm/work_15/work_9.asm", "assembly(DOS)", 47, 11, 8, 66
"/Users/yangluchao/Documents/GitHub/asm/work_17/pushall.asm", "assembly(DOS)", 10, 0, 0, 10
"Total", "-", 910, 215, 108, 1233